city,lat,lng,population
Mumbai,19.0761,72.8775,24973000
Pune,18.5203,73.8567,8231000
Nagpur,21.1497,79.0806,2405665
Thane,19.1972,72.9722,1886941
Pimpri-Chinchwad,18.6186,73.8037,1729320
Nasik,19.9975,73.7898,1486053
Kalyan,19.24,73.13,1246381
Vasai-Virar,19.47,72.8,1221233
Aurangabad,19.88,75.32,1175116
Solapur,17.68,75.92,951558
Bhayandar,19.29,72.85,809378
Bhiwandi,19.2967,73.0631,709665
Dhulia,20.8997,74.7697,655603
Kolhapur,16.6917,74.2333,561489
Nanded,19.15,77.3,550439
Amravati,20.9258,77.7647,549370
Chanda,19.95,79.297,518000
Ulhasnagar,19.22,73.15,506098
Malegaon,20.55,74.55,481228
Jalgaon,21.004,75.568,460468
Sangli,16.853,74.583,436639
Akola,20.7,77,425817
Jalna,19.841,75.8864,393000
Sirur,18.83,74.38,385414
Ahmadnagar,19.08,74.73,350859
Ratnagiri,16.9944,73.3,327120
Panvel,18.9944,73.1139,311434
Parbhani,19.27,76.78,307170
Ichalkaranji,16.7,74.47,287570
Amarnath,19.209,73.186,253475
Pandharpur,17.6778,75.3278,242515
Pathardi,19.17,75.18,228279
Karjat,18.55,75,200000
Bhusaval,21.05,75.77,187421
Mahad,18.083,73.417,180191
Satara,17.688,74.006,179147
Vada,19.39,73.08,178370
Kalamboli,19.2333,73.1333,177154
Malkapur,20.885,76.2,167740
Jamkhed,18.72,75.32,158380
Bir,18.99,75.76,146709
Gondia,21.4598,80.195,132821
Nandgaon,20.307,74.657,123191
Yavatmal,20.24,78.06,116551
Shegaon,20.7944,76.6944,112539
Osmanabad,18.3194,76.0736,112085
Nandurbar,21.37,74.25,111000
Khopoli,18.789,73.343,108648
Wardha,20.7417,78.6056,106444
Karanja,20.4833,77.4833,100947
Navalyal,16.48,74.78,100000
Deoni Buzurg,18.2639,77.0822,97598
Amalner,21.05,75.05,95994
Akot,21.1,77.06,92637
Parli Vaijnath,18.85,76.53,90975
Nirala,19.8143,78.1662,88433
Karad,17.285,74.184,85500
Manmad,20.251,74.439,80058
Nipani,16.399,74.3829,76666
Ambajogai,18.73,76.38,74844
Chopda,21.25,75.3,72783
Warora,20.23,79.0008,72126
Nilanga,18.1161,76.7525,72000
Nandura Buzurg,20.8333,76.4597,70200
Kodoli,16.88,74.2,70000
Palghar,19.6969,72.7654,68931
Anjangaon,21.15,77.28,68380
Urun-Islampur,17.05,74.267,67391
Sangamner,19.5678,74.2115,65804
Sinnar,19.85,74,65299
Vaijapur,19.9267,74.7275,65296
Tasgaon,17.03,74.6,65000
Washim,20.1113,77.133,62863
Pachora,20.67,75.35,59609
Wani,20.0556,78.9533,58840
Sillod,20.3,75.65,58230
Khandala,18.7481,73.4072,57698
Lonavale,18.7481,73.4072,57698
Talegaon Dabhade,18.72,73.68,56435
Baramati,18.15,74.58,54415
Rahuri,19.38,74.65,54325
Deolali,19.951,73.834,54027
Umred,20.85,79.33,53971
Phaltan,17.98,74.43,52118
Chiplun,17.53,73.52,50000
Majalgaon,19.15,76.2333,49453
Nizampur,21.1117,74.33,49004
Vite,17.2711,74.5378,48289
Soyagaon,20.5514,74.5072,48000
Umarkhed,19.6014,77.6888,47458
Selu,19.4551,76.4372,46915
Warud,21.4167,78.4,45482
Nalegaon,18.4167,76.8167,45000
Kedgaon,18.43,74.35,45000
Ahmadpur,18.7,76.9333,44000
Yeola,20.042,74.489,43205
Pimpalgaon Baswant,20.1667,73.9833,41559
Murtajapur,20.73,77.51,40295
Wadegaon,20.34,76.51,40000
Junnar,19.2072,73.8742,40000
Shevgaon,19.35,75.2333,38375
Pen,18.75,73.08,37852
Satana,20.5797,74.216,37701
Morsi,21.318,78.0095,37333
Pathri,19.25,76.45,36853
Purna,19.18,77.05,36433
Wai,17.95,73.89,36030
Bramhapuri,20.6068,79.8644,36025
Shirdi,19.77,74.48,36004
Taloda,21.5607,74.22,36000
Partur,19.5911,76.2161,35883
Umarga,17.84,76.6217,35477
Paithan,19.4751,75.3856,34556
Dapoli,17.7589,73.1856,34544
Risod,19.97,76.78,34136
Pulgaon,20.726,78.317,33925
Lohagaon,20.5988,77.6837,32857
Lohogaon,20.6,77.6833,32857
Manwat,19.3,76.5,32488
Tuljapur,18.0085,76.0699,31714
Masur,17.28,74.2,31671
Unchagao,16.6988,74.2749,31238
Shrigonda,18.616,74.698,31134
Uran,18.89,72.95,30439
Navapur,21.17,73.78,29979
Sangola,17.4378,75.1939,28116
Wasi,18.5422,75.7789,27826
Mukher,18.7008,77.3628,27650
Raver,21.2431,76.0333,27039
Ladkhed,20.32,77.77,25791
Tirora,21.4072,79.9326,25181
Rajgurunagar,18.8667,73.9,25146
Kali,19.9436,77.7317,25000
Parner,19.003,74.438,25000
Kalamner,20.4444,78.3256,25000
Malanvadi,16.008,73.687,25000
Ghoti Budrukh,19.7167,73.6333,24838
Loha,18.9623,77.1309,24125
Kagal,16.58,74.32,23775
Pawni,20.78,79.63,22821
Saoner,21.3858,78.9201,22000
Mangalvedha,17.5167,75.4667,21824
Shendurjana,21.5217,78.2908,21748
Narkher,21.4383,78.5683,21227
Daddi,16.0667,74.4333,21004
Kudal,17.8356,73.9175,21000
Alta,17.25,74.57,20791
Savda,21.15,75.88,20584
Devrukh,17.065,73.6158,20264
Aurad Shahjahani,18.0958,76.8881,20154
Lonar,19.9853,76.5205,20082
Chimthana,21.18,74.69,20000
Naranda,19.7739,79.1365,20000
Vairag,18.05,75.8,19970
Bidkingaon,19.7062,75.3001,19596
Shikrapur,18.6936,74.1381,19374
Rahata,19.7167,74.4833,19024
Khetia,21.6712,74.5853,18827
Chakur,18.5131,76.8753,18627
Karkamb,17.863,75.2981,17456
Khed,17.7178,73.3939,16892
Ramewadi,16.0333,74.35,16079
Murud,18.33,72.96,15658
Dudhgaon,18.2787,76.0536,15303
Shedbal,16.6892,74.7543,15278
Pimpalgaon Raja,20.7167,76.4333,15234
Srivardhan,18.0333,73.0167,15123
Miri,19.28,74.84,15000
Turori,17.8278,76.6903,15000
Kamatgi,16.119,75.8482,14380
Kashti,18.5492,74.5822,14235
Nagardevla Budrukh,20.5667,75.2167,14229
Pirangut,18.5115,73.6801,14174
Nighoj,18.9597,74.2769,13600
Borgaon,16.42,74.58,13519
Talegaon Dhamdhere,18.6678,74.1536,13410
Kagvad,16.48,74.78,13303
Panchgani,17.925,73.8,13280
Jula Buzarg,19.4639,76.9861,13219
Koregaon,18.6456,74.0592,13116
Jalam,20.8167,76.5833,13000
Bagewadi,16.29,74.6,12892
Khuldabad,20.0095,75.1888,12794
Mahabaleshwar,17.925,73.6575,12737
Thair,18.3213,76.133,12479
Bhanas Hivre,19.4858,74.9664,12443
Allapalli,19.43,80.06,12363
Trimbak,19.93,73.53,12056
Tarhala,20.3936,77.2959,12000
Dahivel,21.0667,74.1667,12000
Halgar,18.0958,76.8881,12000
Chinaval,21.1964,75.9261,11747
Renapur,18.5167,76.6,11596
Kondhali,21.1383,78.6408,11418
Bhilavadi,16.8586,74.3317,11273
Walur,19.4872,76.5561,11008
Sirur Tajband,18.7,76.9333,10577
Rajapur,16.6568,73.517,10499
Kamthi,21.2161,79.1973,10437
Deulgaon Mahi,20.0833,76.1833,10127
Ghargaon,18.616,74.698,10000
Wangi,18.1833,75.15,9895
Terkhed,18.445,75.8367,9568
Shirguppi,16.72,75.06,9189
Kongnolli,16.42,74.58,9118
Talevad,17.17,75.96,8971
Karadge,16.42,74.58,8949
Kusumbe,20.9167,74.65,8774
Rani Sawargaon,18.9655,76.7493,8758
Jalalkhera,21.4392,78.7719,8732
Piliv,17.6788,74.9664,8591
Yamkanmardi,16.128,74.527,8545
